,winery,country,MTE: winery
472,Rubicon Estate,US,81.54838709677419
473,Pahlmeyer,US,81.5
474,Penfolds,Australia,81.47058823529412
475,Veuve Doussot,France,81.38461538461539
476,Il Palazzone,Italy,81.27272727272727
477,Gianni Gagliardo,Italy,81.03703703703705
478,Château de France,France,81.0
479,Moillard,France,81.0
480,Anomaly,US,81.0
481,Piña,US,80.95833333333333
482,Brandlin,US,80.83333333333333
483,Taylor Fladgate,Portugal,80.8125
484,Grattamacco,Italy,80.78787878787878
485,G. H. Mumm,France,80.69565217391305
486,Costers del Siurana,Spain,80.6470588235294
487,Shafer,US,80.45762711864407
488,Vine Cliff,US,80.19607843137257
489,Domaine Laleure-Piot,France,80.15789473684211
490,Hanzell,US,80.15384615384616
491,Emmerich Knoll,Austria,80.09523809523809
492,Château Monbousquet,France,80.0
493,Paradisone,Italy,80.0
494,Abbona Marziano,Italy,80.0
495,Yarra Yering,Australia,80.0
496,J.R. Carter,US,80.0
497,Domaine de la Cote,US,80.0
498,Prim Family,US,80.0
499,Meroni,Italy,80.0
500,Den Hoed,US,80.0
501,Château du Domaine de l'Eglise,France,80.0
502,Valance,US,80.0
503,Corison,US,80.0
504,Anakota,US,80.0
505,Dolce,US,80.0
506,Feist,Portugal,80.0
507,Gianfranco Fino,Italy,80.0
508,Thirteen Appellations,US,80.0
509,Castelvecchi,Italy,80.0
510,Fumanelli,Italy,80.0
511,Angelo Cellars,US,80.0
512,Proximity,US,80.0
513,Château Tour Baladoz,France,80.0
514,Hilliard Bruce,US,80.0
515,Canalicchio Franco Pacenti,Italy,80.0
516,Château de la Gardine,France,80.0
517,Cobb,US,80.0
518,The Decision,US,80.0
519,Domaine de Courcel,France,80.0
520,WindVane,US,80.0
521,Domaine Jayer-Gilles,France,79.63333333333334
522,Ayala,France,79.54545454545455
523,Villa Le Prata,Italy,79.5
524,Cignale,Italy,79.4
525,Germano Angelo,Italy,79.33333333333333
526,Casa Ferreirinha,Portugal,79.27272727272727
527,J.L. Chave,France,79.25
528,Vineyard 7&8,US,79.21052631578948
529,Blackbird Vineyards,US,79.20588235294117
530,Ghost Block,US,79.16666666666667
531,Lail,US,79.06666666666666
532,Pecci Celestino,Italy,79.0
533,Mathilde et Yves Gangloff,France,79.0
534,Prestwood,US,79.0
535,Ellman Family,US,79.0
536,Prime Solum,US,79.0
537,Kukeri,US,79.0
538,Ca'Romè,Italy,78.9
539,Val Sotillo,Spain,78.83333333333333
540,Macauley,US,78.8
541,Domaine Jacques-Frédéric Mugnier,France,78.75
542,J. Dumangin Fils,France,78.75
543,Fattoria Petrolo,Italy,78.6842105263158
544,Spoto,US,78.57142857142857
545,Kracher,Austria,78.375
546,Montagna,US,78.33333333333333
547,The Matriarch,US,78.33333333333333
548,Bello Family Vineyards,US,78.25
549,Legacy,US,78.0
550,Diadema,Italy,78.0
551,Casa Raia,Italy,78.0
552,Fattoria La Massa,Italy,78.0
553,Conti Costanti,Italy,77.7
554,Hartwell,US,77.5
555,Jeaunaux-Robin,France,77.5
556,Huber,US,77.48275862068967
557,Huber,Germany,77.48275862068967
558,J. Davies,US,77.33333333333333
559,Stag's Leap Wine Cellars,US,77.32894736842105
560,Canalicchio di Sopra,Italy,77.3125
561,Marqués de Murrieta,Spain,77.16666666666667
562,Blue Farm,US,77.14285714285714
563,Pago de Carraovejas,Spain,77.0
564,Lambardi,Italy,77.0
565,Bodega Tacuil,Argentina,77.0
566,Nikolaihof,Austria,76.94444444444444
567,Capannelle,Italy,76.81818181818181
568,Piper-Heidsieck,France,76.76923076923076
569,VGS,US,76.66666666666667
570,Matteo,US,76.66666666666667
571,Covenant,US,76.66666666666667
572,Inniskillin,Canada,76.63636363636364
573,Château le Pape,France,76.6
574,Bibi Graetz,Italy,76.57142857142857
575,Archery Summit,US,76.56
576,Il Marroneto,Italy,76.5
577,Josetta Saffirio,Italy,76.41666666666667
578,Guarachi Family,US,76.3888888888889
579,Greenock Creek,Australia,76.25
580,Pierre Morey,France,76.13333333333334
581,Cordero di Montezemolo,Italy,76.0
582,Château les Ormes,France,76.0
583,Enclave,Chile,76.0
584,Mooney Family,US,76.0
585,Astrales,Spain,75.85714285714286
586,Harrison,US,75.83333333333333
587,Montevetrano,Italy,75.83333333333333
588,Terralsole,Italy,75.65
589,Lookout Ridge,US,75.41666666666667
590,Chimney Rock,US,75.36538461538461
591,Altesino,Italy,75.33333333333333
592,Campo alla Sughera,Italy,75.25
593,David Arthur,US,75.14285714285714
594,Nicolas Feuillatte,France,75.10526315789474
595,Camiana,US,75.0
596,De Fina,US,75.0
