,region_1,country,MTE: region_1
442,Chianti Classico,Italy,28.337724550898205
443,Chénas,France,28.33333333333333
444,Tumbarumba,Australia,28.33333333333333
445,Carmignano,Italy,28.32142857142857
446,Lazio,Italy,28.310344827586214
447,Coteaux du Languedoc,France,28.262135922330092
448,Padthaway,Australia,28.15909090909091
449,Montefalco Rosso,Italy,28.02439024390244
450,Sonoma County,US,28.002158661629792
451,Mâcon Chaintré,France,28.0
452,Asolo Prosecco Superiore,Italy,28.0
453,Middleburg,US,28.0
454,Muscat de Rivesaltes,France,28.0
455,Verduno,Italy,28.0
456,San Diego County,US,28.0
457,Emporadà-Costa Brava,Spain,28.0
458,Cérons,France,28.0
459,Pyrenees,Australia,27.842105263157894
460,Cochise County,US,27.79166666666667
461,Capay Valley,US,27.75
462,San Pasqual,US,27.714285714285715
463,Côtes de Bergerac,France,27.714285714285715
464,Valpolicella Classico Superiore,Italy,27.707317073170728
465,Southern Flinders Ranges,Australia,27.555555555555557
466,Limoux,France,27.52
467,Clare Valley-Eden Valley,Australia,27.5
468,Naches Heights,US,27.5
469,Côtes du Roussillon,France,27.5
470,Arizona,US,27.5
471,Santa Clara Valley,US,27.46875
472,Paicines,US,27.448275862068964
473,Bierzo,Spain,27.392638036809817
474,Tasmania,Australia,27.2
475,Colli Orientali del Friuli,Italy,27.18670076726343
476,Alto Adige,Italy,27.14470842332613
477,McLaren Vale-Padthaway,Australia,27.0
478,Rasteau,France,27.0
479,Coteaux de Verdon,France,27.0
480,McLaren Vale-Beechworth,Australia,27.0
481,Saint-Mont,France,27.0
482,Mâcon-Uchizy,France,27.0
483,Old Mission Peninsula,US,27.0
484,Ramona Valley,US,27.0
485,Pouilly-sur-Loire,France,27.0
486,Tehema Foothills,US,27.0
487,Barossa Valley-McLaren Vale,Australia,27.0
488,"The Hamptons, Long Island",US,26.9
489,Saint-Véran,France,26.872340425531913
490,Rosso del Veronese,Italy,26.86206896551724
491,Montagny,France,26.86046511627907
492,Muscat de Beaumes de Venise,France,26.83333333333333
493,Lake Michigan Shore,US,26.8
494,Montsant,Spain,26.785714285714285
495,Listrac-Médoc,France,26.75
496,Sonoma County-Napa County,US,26.714285714285715
497,Romagna,Italy,26.66666666666667
498,Columbia Gorge (OR),US,26.66
499,Ruché di Castagnole Monferrato,Italy,26.5
500,Saussignac,France,26.5
501,Long Island,US,26.460674157303373
502,San Luis Obispo,US,26.42857142857143
503,Columbia Gorge (WA),US,26.35294117647059
504,Canon-Fronsac,France,26.33333333333333
505,Valdeorras,Spain,26.32727272727273
506,Columbia Valley (WA),US,26.32705929973689
507,Santa Barbara,US,26.28
508,Penedès,Spain,26.268656716417908
509,Sardinia,Italy,26.25
510,Cadillac Côtes de Bordeaux,France,26.23809523809524
511,Faugères,France,26.2
512,Friuli Isonzo,Italy,26.175438596491233
